horizon,type,bin_mid,bin_count,mean_predicted,mean_observed,ci_low,ci_high
5,raw,0.05,2943,0.07158191754445577,0.047910295616717634,0.04076580488483477,0.05623350447743294
5,calibrated,0.05,2943,0.055885843675116585,0.047910295616717634,0.04076580488483477,0.05623350447743294
10,raw,0.05,2476,0.0796172253634895,0.04563812600969305,0.03809770430019259,0.05458628003170991
10,raw,0.15000000000000002,462,0.10663412698412698,0.06926406926406926,0.049487086413973924,0.09614524869736005
10,calibrated,0.05,2832,0.05902658204941244,0.0490819209039548,0.041717863386977534,0.05766765941514231
10,calibrated,0.15000000000000002,106,0.10652767295597486,0.05660377358490566,0.026197262538493492,0.11802496292071321
20,raw,0.05,1579,0.07597605024276968,0.06016466117796074,0.04946884188872315,0.07299546534201934
20,raw,0.15000000000000002,1349,0.1218133679268594,0.06226834692364715,0.05057476849428516,0.0764479368985709
20,calibrated,0.05,2414,0.06351263303857867,0.05592377796188898,0.04744330051533017,0.06581540096453517
20,calibrated,0.15000000000000002,514,0.12013526652414998,0.08560311284046693,0.06438463169523705,0.11296998794134681
