horizon,type,bin_mid,bin_count,mean_predicted,mean_observed,ci_low,ci_high
5,raw,0.05,2792,0.025333154250238774,0.00501432664756447,0.002989292043785464,0.008399622120736588
5,raw,0.15000000000000002,109,0.14025489296636084,0.12844036697247707,0.07807369166475246,0.20410593003504618
5,raw,0.25,27,0.22832716049382717,0.2962962962962963,0.15852853317647564,0.4848103338083759
5,raw,0.35000000000000003,8,0.35365,0.5,0.21521252682444186,0.7847874731755582
5,raw,0.45,6,0.4501777777777778,1.0,0.6096569663469354,0.9999999999999999
5,raw,0.55,1,0.5259,1.0,0.20654329147389294,1.0
5,calibrated,0.05,2808,0.02167294292305834,0.005698005698005698,0.0035103878464893207,0.009236276119219133
5,calibrated,0.15000000000000002,98,0.13866666658013996,0.1326530612244898,0.07918911601863514,0.21383063229639532
5,calibrated,0.25,22,0.23097515378142425,0.3181818181818182,0.1636038735469248,0.5268177721716065
5,calibrated,0.35000000000000003,8,0.34892972831892266,0.5,0.21521252682444186,0.7847874731755582
5,calibrated,0.45,6,0.4501777777777778,1.0,0.6096569663469354,0.9999999999999999
5,calibrated,0.55,1,0.5259,1.0,0.20654329147389294,1.0
10,raw,0.05,2459,0.05589242917175003,0.023993493289955266,0.018646731321526527,0.030825228223090556
10,raw,0.15000000000000002,321,0.12980742471443404,0.08411214953271028,0.05844880067118157,0.1196121373367583
10,raw,0.25,97,0.24920343642611684,0.18556701030927836,0.12072806645374706,0.27436284840678665
10,raw,0.35000000000000003,43,0.3373472868217054,0.23255813953488372,0.1315353846924483,0.37744808299439414
10,raw,0.45,9,0.4534851851851852,0.7777777777777778,0.4525833436728054,0.9367762376877727
10,raw,0.55,7,0.5515857142857142,1.0,0.6456611570247934,1.0
10,raw,0.6500000000000001,2,0.6196166666666667,1.0,0.34237195288961925,1.0
10,calibrated,0.05,2578,0.04805399605732361,0.0252133436772692,0.019831372147560082,0.03200821398351782
10,calibrated,0.15000000000000002,221,0.1373255140866714,0.11764705882352941,0.08156190510152554,0.16679782904019913
10,calibrated,0.25,86,0.24594271940784584,0.16279069767441862,0.09952040412263215,0.2548989294600289
10,calibrated,0.35000000000000003,35,0.33986473935456635,0.2571428571428571,0.1416286872655014,0.4206962427064873
10,calibrated,0.45,9,0.4444740587598873,0.7777777777777778,0.4525833436728054,0.9367762376877727
10,calibrated,0.55,7,0.5420801742377903,1.0,0.6456611570247934,1.0
10,calibrated,0.6500000000000001,2,0.6196166666666667,1.0,0.34237195288961925,1.0
20,raw,0.05,152,0.09238344298245614,0.019736842105263157,0.006734529912818171,0.056416772435207
20,raw,0.15000000000000002,2211,0.13854453490125132,0.10402532790592492,0.09197901814003256,0.11744525852155802
20,raw,0.25,378,0.23341450617283951,0.1402116402116402,0.1088178673413117,0.17884487029649415
20,raw,0.35000000000000003,97,0.35288694158075606,0.5154639175257731,0.41732951901522114,0.6124201081227854
20,raw,0.45,70,0.44133261904761906,0.4857142857142857,0.37245682382738127,0.6004581725973981
20,raw,0.55,11,0.5497424242424243,0.7272727272727273,0.4343497069897537,0.9025411942607853
20,raw,0.6500000000000001,8,0.6440916666666666,1.0,0.6755843804891231,1.0
20,raw,0.75,1,0.7069333333333333,1.0,0.20654329147389294,1.0
20,calibrated,0.05,639,0.08753275073317515,0.050078247261345854,0.03569334683822428,0.06984058251544543
20,calibrated,0.15000000000000002,1807,0.1363193075557204,0.11898173768677366,0.10485572512159867,0.13472436846582497
20,calibrated,0.25,306,0.235307818196625,0.1437908496732026,0.10888866030575414,0.18752602384253322
20,calibrated,0.35000000000000003,93,0.35047017208530246,0.5591397849462365,0.4578797367909649,0.6557078123614655
20,calibrated,0.45,63,0.43925782511319017,0.42857142857142855,0.3139672637328724,0.5513860491740598
20,calibrated,0.55,11,0.5422801846564557,0.7272727272727273,0.4343497069897537,0.9025411942607853
20,calibrated,0.6500000000000001,8,0.6413055733321381,1.0,0.6755843804891231,1.0
20,calibrated,0.75,1,0.7069333333333333,1.0,0.20654329147389294,1.0
