horizon,type,bin_mid,bin_count,mean_predicted,mean_observed,ci_low,ci_high
5,raw,0.05,2943,0.05633345225959905,0.050628610261637785,0.04327699771248203,0.05915185357019295
5,calibrated,0.05,2943,0.05556817989015135,0.050628610261637785,0.04327699771248203,0.05915185357019295
10,raw,0.05,2937,0.056612734082397004,0.05379639087504256,0.046204112275848114,0.06255441453498045
10,raw,0.15000000000000002,1,0.1042,0.0,0.0,0.7934567085261071
10,calibrated,0.05,2937,0.05731961652918341,0.05379639087504256,0.046204112275848114,0.06255441453498045
10,calibrated,0.15000000000000002,1,0.10159199982400435,0.0,0.0,0.7934567085261071
20,raw,0.05,2921,0.056402464909277646,0.04895583704210887,0.041705835058499195,0.05739067669789814
20,raw,0.15000000000000002,7,0.10363809523809524,0.0,0.0,0.35433884297520657
20,calibrated,0.05,2786,0.057331163893835226,0.04989231873653984,0.04240915389325733,0.05861507629959662
20,calibrated,0.15000000000000002,142,0.11430611927189105,0.028169014084507043,0.011007563725265082,0.07018737653869253
