horizon,type,bin_mid,bin_count,mean_predicted,mean_observed,ci_low,ci_high
5,raw,0.05,2943,0.04613571752180314,0.028882093102276588,0.023418315041161895,0.035574200878255004
5,calibrated,0.05,2943,0.04222823716477771,0.028882093102276588,0.023418315041161895,0.035574200878255004
10,raw,0.05,2,0.09856666666666666,0.5,0.09452865480086614,0.9054713451991339
10,raw,0.15000000000000002,2936,0.13769625340599456,0.12840599455040871,0.11678855215430277,0.14099458827067793
10,calibrated,0.05,30,0.09580767459680138,0.43333333333333335,0.2737723743061511,0.6080299045459127
10,calibrated,0.15000000000000002,2908,0.13350602934728734,0.12551581843191198,0.11396608762047918,0.13805366510233377
20,raw,0.25,2005,0.28746334164588533,0.26533665835411474,0.24647270165774476,0.2850981300096202
20,raw,0.35000000000000003,923,0.30691459010473093,0.27302275189599134,0.24526586401183803,0.30266120356907333
20,calibrated,0.25,2430,0.28273397102589387,0.2716049382716049,0.2542907170364993,0.28964016162051764
20,calibrated,0.35000000000000003,498,0.30881676372467864,0.24899598393574296,0.2130339841647109,0.2888008577455652
