horizon,type,bin_mid,bin_count,mean_predicted,mean_observed
5,raw,0.05,5057,0.05198180937314614,0.05042515325291675
5,calibrated,0.05,5057,0.052068109655124394,0.05042515325291675
10,raw,0.05,4914,0.05273299145299145,0.047619047619047616
10,raw,0.15000000000000002,138,0.1111363768115942,0.10144927536231885
10,calibrated,0.05,4947,0.05345666971123047,0.04831210834849404
10,calibrated,0.15000000000000002,105,0.1103115554408805,0.08571428571428572
20,raw,0.05,4733,0.05308772237481513,0.056412423410099305
20,raw,0.15000000000000002,309,0.12620320388349515,0.10679611650485436
20,calibrated,0.05,4543,0.057535074878351494,0.05855161787365177
20,calibrated,0.15000000000000002,499,0.1224451093434615,0.06813627254509018
